Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
Seymour Railroad Rumble VEX V5 Robotics Competition: Middle School and High School Teams,Other,None,Qualifier #4,2024-11-02T10:15:45-04:00,42,0,42,1.0,W,red,red,9257R,1115E,47126C,2719W
Seymour Railroad Rumble VEX V5 Robotics Competition: Middle School and High School Teams,Other,None,Qualifier #19,2024-11-02T11:33:16-04:00,49,0,49,1.0,W,blue,blue,47126D,2719F,1115E,6842V
Seymour Railroad Rumble VEX V5 Robotics Competition: Middle School and High School Teams,Other,None,Qualifier #27,2024-11-02T12:07:25-04:00,17,40,-23,-0.40350877192982454,L,red,blue,1115E,2719X,6210M,76316J
Seymour Railroad Rumble VEX V5 Robotics Competition: Middle School and High School Teams,Other,None,Qualifier #36,2024-11-02T12:45:25-04:00,7,45,-38,-0.7307692307692307,L,blue,red,7701Z,7701E,31330E,1115E
Seymour Railroad Rumble VEX V5 Robotics Competition: Middle School and High School Teams,Other,None,Qualifier #46,2024-11-02T13:26:25-04:00,26,10,16,0.4444444444444444,W,red,red,1115E,2719G,7282K,1483C
Seymour Railroad Rumble VEX V5 Robotics Competition: Middle School and High School Teams,Other,None,Qualifier #10,2024-11-02T13:59:31-04:00,3,27,-24,-0.8,L,blue,red,9257C,1115B,1115E,2719S
Seymour Railroad Rumble VEX V5 Robotics Competition: Middle School and High School Teams,Other,None,R16 #8-1,2024-11-02T15:13:11-04:00,24,5,19,0.6551724137931034,W,red,red,1115E,7282K,2719W,31330E
Seymour Railroad Rumble VEX V5 Robotics Competition: Middle School and High School Teams,Other,None,QF #4-1,2024-11-02T15:32:47-04:00,20,43,-23,-0.36507936507936506,L,blue,red,6210M,6842V,1115E,7282K
Speedway High Stakes VEX V5 Robotics Competition Signature Event: High School,Signature,None,Qualifier #4,2024-11-22T10:43:20-05:00,26,34,-8,-0.13333333333333333,L,red,blue,45618A,1115E,2719F,3150A
Speedway High Stakes VEX V5 Robotics Competition Signature Event: High School,Signature,None,Qualifier #31,2024-11-22T12:21:52-05:00,33,36,-3,-0.043478260869565216,L,blue,red,1687C,57249C,1115E,8626K
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,Qualifier #4,2024-12-07T10:12:35-05:00,15,6,9,0.42857142857142855,W,red,red,1115E,28921B,6842N,1115B
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,Qualifier #10,2024-12-07T10:44:53-05:00,28,13,15,0.36585365853658536,W,blue,blue,7701P,1115D,76316J,1115E
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,Qualifier #18,2024-12-07T11:19:20-05:00,34,0,34,1.0,W,red,red,1115E,31458A,46013C,1115A
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,Qualifier #25,2024-12-07T13:03:27-05:00,38,25,13,0.20634920634920634,W,red,red,31114B,1115E,7701Z,31114A
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,Qualifier #32,2024-12-07T13:33:36-05:00,19,45,-26,-0.40625,L,blue,red,6842K,6842V,1115C,1115E
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,Qualifier #36,2024-12-07T13:48:45-05:00,23,1,22,0.9166666666666666,W,blue,blue,28921A,7701M,46013B,1115E
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,QF #3-1,2024-12-07T15:02:56-05:00,41,0,41,1.0,W,red,red,1115B,1115E,31114B,6842A
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,SF #2-1,2024-12-07T15:23:43-05:00,35,11,24,0.5217391304347826,W,red,red,1115B,1115E,7701Z,7701P
Purdue Polytechnic Anderson Robotics Winter Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,None,Final #1-1,2024-12-07T15:39:20-05:00,0,27,-27,-1.0,L,blue,red,6842K,6842V,1115B,1115E
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,Qualifier #6,2025-01-11T10:05:34-05:00,48,8,40,0.7142857142857143,W,blue,blue,6210H,32789D,99904B,1115E
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,Qualifier #12,2025-01-11T10:31:35-05:00,33,14,19,0.40425531914893614,W,red,red,7701J,1115E,99904C,1115B
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,Qualifier #25,2025-01-11T11:19:53-05:00,37,9,28,0.6086956521739131,W,blue,blue,5870B,7701P,7701E,1115E
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,Qualifier #39,2025-01-11T13:02:13-05:00,25,14,11,0.28205128205128205,W,red,red,1115E,2719F,3725A,7701X
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,Qualifier #46,2025-01-11T13:22:38-05:00,30,23,7,0.1320754716981132,W,red,red,1115E,3725B,1115C,7701A
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,Qualifier #58,2025-01-11T13:57:58-05:00,29,22,7,0.13725490196078433,W,blue,blue,7701U,2719X,1075C,1115E
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,R16 #7-1,2025-01-11T15:41:31-05:00,30,10,20,0.5,W,red,red,6842V,1115E,46013A,7701E
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,QF #4-1,2025-01-11T15:56:54-05:00,29,12,17,0.4146341463414634,W,red,red,6842V,1115E,1115C,2719A
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,SF #2-1,2025-01-11T16:10:21-05:00,32,15,17,0.3617021276595745,W,blue,blue,7701X,99904E,6842V,1115E
Greenfield-Central VEX V5 Robotics Competition Blended Tournament: High Stakes Middle School and High School Teams,Other,Event Region Championship,Final #1-1,2025-01-11T16:24:15-05:00,39,28,11,0.16417910447761194,W,blue,blue,99904W,99904B,6842V,1115E
Greenfield-Central VEX V5 Robotics Competition League: High Stakes Middle School and High School Teams,Other,None,Qualifier #4,2025-01-15T17:42:32-05:00,0,18,-18,-1.0,L,red,blue,1115E,7282K,2719W,99904W
Greenfield-Central VEX V5 Robotics Competition League: High Stakes Middle School and High School Teams,Other,None,Qualifier #6,2025-01-15T18:00:23-05:00,29,18,11,0.23404255319148937,W,red,red,1115E,2719S,7282V,7282T
Greenfield-Central VEX V5 Robotics Competition League: High Stakes Middle School and High School Teams,Other,None,Qualifier #10,2025-01-15T18:31:50-05:00,13,0,13,1.0,W,blue,blue,2719X,2719F,1115E,1115D
Greenfield-Central VEX V5 Robotics Competition League: High Stakes Middle School and High School Teams,Other,None,Qualifier #16,2025-01-15T19:16:46-05:00,20,14,6,0.17647058823529413,W,red,red,1115E,2719G,1115B,99904C
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #1,2025-01-24T12:29:34-05:00,32,25,7,0.12280701754385964,W,red,red,1115E,3217T,99751H,1233H
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #23,2025-01-24T13:42:35-05:00,29,39,-10,-0.14705882352941177,L,blue,red,334U,2011E,7882X,1115E
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,Qualifier #44,2025-01-24T14:53:19-05:00,23,14,9,0.24324324324324326,W,blue,blue,39H,97934S,97031A,1115E
Kalahari Classic VEX V5 Robotics Competition Signature Event - HS: High School - WORLDS QUALIFYING DIVISION,Signature,None,R16 #8-1,2025-01-25T14:36:15-05:00,20,38,-18,-0.3103448275862069,L,blue,red,248A,6008X,1249A,1115E
Zionsville Winter VEX V5 Robotics Competition Tournament: High Stakes High School Teams,Other,None,Qualifier #9,2025-02-01T11:13:29-05:00,37,16,21,0.39622641509433965,W,red,red,14819G,1115E,83941F,7368M
Zionsville Winter VEX V5 Robotics Competition Tournament: High Stakes High School Teams,Other,None,Qualifier #18,2025-02-01T11:41:46-05:00,25,2,23,0.8518518518518519,W,blue,blue,17917A,13956A,1115E,13956D
Zionsville Winter VEX V5 Robotics Competition Tournament: High Stakes High School Teams,Other,None,Qualifier #38,2025-02-01T12:43:32-05:00,56,0,56,1.0,W,blue,blue,83941C,36613B,1115E,7701M
Zionsville Winter VEX V5 Robotics Competition Tournament: High Stakes High School Teams,Other,None,Qualifier #53,2025-02-01T13:29:12-05:00,0,25,-25,-1.0,L,red,blue,14819C,1115E,586A,6842N
Zionsville Winter VEX V5 Robotics Competition Tournament: High Stakes High School Teams,Other,None,R16 #1-1,2025-02-01T15:55:50-05:00,45,6,39,0.7647058823529411,W,red,red,1115E,6842N,36613B,1115D
Zionsville Winter VEX V5 Robotics Competition Tournament: High Stakes High School Teams,Other,None,QF #1-1,2025-02-01T16:40:46-05:00,51,4,47,0.8545454545454545,W,red,red,1115E,6842N,17917A,7701U
Zionsville Winter VEX V5 Robotics Competition Tournament: High Stakes High School Teams,Other,None,SF #1-1,2025-02-01T17:05:20-05:00,0,24,-24,-1.0,L,red,blue,1115E,6842N,7701Z,7368M
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,Qualifier #13,2025-02-08T10:14:21-05:00,39,33,6,0.08333333333333333,W,blue,blue,44892B,2567C,7701Z,1115E
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,Qualifier #26,2025-02-08T10:52:43-05:00,26,12,14,0.3684210526315789,W,red,red,38637C,1115E,13301A,6842A
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,Qualifier #37,2025-02-08T11:28:20-05:00,29,24,5,0.09433962264150944,W,blue,blue,1115B,91976A,7368G,1115E
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,Qualifier #47,2025-02-08T12:35:08-05:00,52,5,47,0.8245614035087719,W,red,red,5690W,1115E,5870B,3725C
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,Qualifier #55,2025-02-08T13:02:52-05:00,34,7,27,0.6585365853658537,W,red,red,1115E,1115C,7368C,44892C
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,R16 #6-1,2025-02-08T16:15:42-05:00,39,18,21,0.3684210526315789,W,red,red,1115E,1115B,5690W,7701R
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,QF #3-1,2025-02-08T16:50:33-05:00,42,41,1,0.012048192771084338,W,blue,blue,99904B,99904W,1115E,1115B
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,SF #2-1,2025-02-08T17:12:27-05:00,43,29,14,0.19444444444444445,W,red,red,1115E,1115B,2393S,6842V
Park Tudor School VEX V5 Robotics Competition Qualifier: High Stakes Middle School and High School Teams,Other,None,Final #1-1,2025-02-08T17:33:31-05:00,28,50,-22,-0.28205128205128205,L,blue,red,6210M,6842K,1115E,1115B
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,Qualifier #8,2025-02-22T10:11:54-05:00,35,0,35,1.0,W,red,red,6210H,1115E,1115C,14819D
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,Qualifier #19,2025-02-22T10:45:05-05:00,33,27,6,0.1,W,red,red,62191A,1115E,2719A,62191B
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,Qualifier #25,2025-02-22T11:03:57-05:00,40,14,26,0.48148148148148145,W,blue,blue,14819E,6618E,1115E,3654S
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,Qualifier #32,2025-02-22T11:30:59-05:00,39,24,15,0.23809523809523808,W,blue,blue,94521A,6210T,7701X,1115E
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,Qualifier #47,2025-02-22T13:19:15-05:00,33,18,15,0.29411764705882354,W,red,red,2719G,1115E,50887A,6210G
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,Qualifier #55,2025-02-22T13:49:12-05:00,28,23,5,0.09803921568627451,W,blue,blue,46013B,6210M,7701R,1115E
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,R16 #1-1,2025-02-22T14:33:13-05:00,46,22,24,0.35294117647058826,W,red,red,1115E,6210M,6210G,42784B
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,QF #1-1,2025-02-22T15:00:35-05:00,44,0,44,1.0,W,red,red,1115E,6210M,2719F,2719S
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,SF #1-1,2025-02-22T15:15:52-05:00,45,29,16,0.21621621621621623,W,red,red,1115E,6210M,6210H,1075C
Purdue Polytechnic Anderson Robotics Spring Tournament: VEX V5 Robotics Competition Middle School and High School Teams,Other,Event Region Championship,Final #1-1,2025-02-22T15:38:18-05:00,25,14,11,0.28205128205128205,W,red,red,1115E,6210M,1115B,6842V
New Palestine High School Blended VEX V5 Robotics Competition: Middle School and High School Teams,Unknown,None,Qualifier #3,2025-03-01T09:12:39-05:00,27,10,17,0.4594594594594595,W,blue,blue,71071A,31330A,1483D,1115E
New Palestine High School Blended VEX V5 Robotics Competition: Middle School and High School Teams,Unknown,None,Qualifier #25,2025-03-01T10:33:33-05:00,24,23,1,0.02127659574468085,W,blue,blue,44892A,6842K,1115C,1115E
New Palestine High School Blended VEX V5 Robotics Competition: Middle School and High School Teams,Unknown,None,Qualifier #33,2025-03-01T10:54:53-05:00,44,15,29,0.4915254237288136,W,red,red,1483A,1115E,3487Z,57301R
New Palestine High School Blended VEX V5 Robotics Competition: Middle School and High School Teams,Unknown,None,Qualifier #59,2025-03-01T13:03:10-05:00,28,26,2,0.037037037037037035,W,red,red,2719S,1115E,99904E,1115B
New Palestine High School Blended VEX V5 Robotics Competition: Middle School and High School Teams,Unknown,None,R16 #5-1,2025-03-01T15:47:17-05:00,38,10,28,0.5833333333333334,W,red,red,1115E,6842K,5690Y,5690Z
New Palestine High School Blended VEX V5 Robotics Competition: Middle School and High School Teams,Unknown,None,QF #3-1,2025-03-01T16:11:19-05:00,49,27,22,0.2894736842105263,W,red,red,1115E,6842K,6210H,100A
New Palestine High School Blended VEX V5 Robotics Competition: Middle School and High School Teams,Unknown,None,SF #2-1,2025-03-01T16:34:24-05:00,0,20,-20,-1.0,L,red,blue,1115E,6842K,6210M,99904E
Greenfield-Central VEX V5 Robotics Competition League: High Stakes Middle School and High School Teams,Other,None,QF #3-1,2025-03-05T17:37:15-05:00,39,22,17,0.2786885245901639,W,red,red,1115E,1115B,2719X,2719W
