Event Name,Event Type,Title,Qualifications
City of Oxford VEX V5 Robotics Competition: Middle and High School Teams,Other,Excellence Award (VRC/VEXU/VAIRC),Event Region Championship
City of Oxford VEX V5 Robotics Competition: Middle and High School Teams,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
SMS VEX V5 Robotics Competition #2: Middle and High School Teams Only,Other,Excellence Award (VRC/VEXU/VAIRC),Event Region Championship
SMS VEX V5 Robotics Competition #2: Middle and High School Teams Only,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
SMS VEX V5 Robotics Competition #2: Middle and High School Teams Only,Other,Robot Skills Champion (VRC/VEXU/VAIRC),
City of Oxford VEX V5 Robotics Competition: Middle and High School Teams,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
City of Oxford VEX V5 Robotics Competition: Middle and High School Teams,Other,Robot Skills Champion (VRC/VEXU/VAIRC),
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,Tournament Champions (VRC/VEXU/VAIRC),Event Region Championship
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,Robot Skills Champion (VRC/VEXU/VAIRC),
Phenix City's Happy Birthday V5 VEXstravaganza: VEX V5 Robotics Competition Middle and High School Teams,Other,Judges Award (VRC/VEXU/VAIC/ADC/VAIRC),
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,Tournament Champions (VRC/VEXU/VAIRC),World Championship
SCORE Showdown VEX V5 Robotics Competition Signature Event: Presented by Hyundai at Auburn University - High School,Signature,Build Award (VRC/VEXU/VAIRC),
Alabama VEX V5 Event Region Championship 2025: High School Teams Only,Regional,Tournament Finalists (VRC/VEXU/VAIRC),World Championship
Alabama VEX V5 Event Region Championship 2025: High School Teams Only,Regional,Amaze Award (VRC/VEXU/VAIRC),World Championship
