Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
4th Annual Caston Cobweb Classic VEX V5 Robotics Competition: High Stakes Competition Middle and High School Teams,Other,None,Qualifier #6,2024-10-26T11:02:10-04:00,26,16,10,0.23809523809523808,W,blue,blue,71100S,587X,2567C,2790B
4th Annual Caston Cobweb Classic VEX V5 Robotics Competition: High Stakes Competition Middle and High School Teams,Other,None,Qualifier #18,2024-10-26T12:07:02-04:00,31,12,19,0.4418604651162791,W,red,red,2790A,2567C,50075E,586A
4th Annual Caston Cobweb Classic VEX V5 Robotics Competition: High Stakes Competition Middle and High School Teams,Other,None,Qualifier #24,2024-10-26T12:33:24-04:00,21,17,4,0.10526315789473684,W,blue,blue,100A,2790E,50075F,2567C
4th Annual Caston Cobweb Classic VEX V5 Robotics Competition: High Stakes Competition Middle and High School Teams,Other,None,Qualifier #34,2024-10-26T14:04:16-04:00,0,30,-30,-1.0,L,red,blue,621B,2567C,621A,631A
4th Annual Caston Cobweb Classic VEX V5 Robotics Competition: High Stakes Competition Middle and High School Teams,Other,None,Qualifier #41,2024-10-26T14:35:23-04:00,8,12,-4,-0.2,L,red,blue,2567C,1233H,2567P,1233G
4th Annual Caston Cobweb Classic VEX V5 Robotics Competition: High Stakes Competition Middle and High School Teams,Other,None,R16 #4-1,2024-10-26T16:47:09-04:00,22,0,22,1.0,W,red,red,631A,2567C,1233J,2567P
4th Annual Caston Cobweb Classic VEX V5 Robotics Competition: High Stakes Competition Middle and High School Teams,Other,None,QF #2-1,2024-10-26T17:33:35-04:00,24,30,-6,-0.1111111111111111,L,blue,red,1233E,1233A,631A,2567C
Concordia Lutheran VEX V5 Robotics Competition Robotics Rumble: Middle School and High School Teams,Other,None,Qualifier #8,2024-11-09T10:08:55-05:00,17,8,9,0.36,W,red,red,2567C,55760F,2567T,2567F
Concordia Lutheran VEX V5 Robotics Competition Robotics Rumble: Middle School and High School Teams,Other,None,Qualifier #15,2024-11-09T10:41:59-05:00,30,10,20,0.5,W,blue,blue,33112G,703C,1193Y,2567C
Concordia Lutheran VEX V5 Robotics Competition Robotics Rumble: Middle School and High School Teams,Other,None,Qualifier #23,2024-11-09T11:16:51-05:00,27,6,21,0.6363636363636364,W,blue,blue,2567M,1483C,703A,2567C
Concordia Lutheran VEX V5 Robotics Competition Robotics Rumble: Middle School and High School Teams,Other,None,Qualifier #28,2024-11-09T11:38:44-05:00,38,11,27,0.5510204081632653,W,blue,blue,33112B,703B,6842V,2567C
Concordia Lutheran VEX V5 Robotics Competition Robotics Rumble: Middle School and High School Teams,Other,None,Qualifier #40,2024-11-09T13:02:29-05:00,19,5,14,0.5833333333333334,W,red,red,2567C,1193S,55760R,55760K
Concordia Lutheran VEX V5 Robotics Competition Robotics Rumble: Middle School and High School Teams,Other,None,R16 #3-1,2024-11-09T14:46:00-05:00,33,10,23,0.5348837209302325,W,red,red,2567C,2567F,33112D,1483A
Concordia Lutheran VEX V5 Robotics Competition Robotics Rumble: Middle School and High School Teams,Other,None,QF #2-1,2024-11-09T15:25:40-05:00,12,11,1,0.043478260869565216,W,red,red,2567C,2567F,1249A,1193Z
Concordia Lutheran VEX V5 Robotics Competition Robotics Rumble: Middle School and High School Teams,Other,None,SF #1-1,2024-11-09T15:44:10-05:00,32,39,-7,-0.09859154929577464,L,blue,red,71100S,6842V,2567C,2567F
Plymouth Robotics VEX V5 Robotics Competition: Fantastic Fall Tournament Middle School and High School Teams,Other,Event Region Championship,Qualifier #6,2024-11-16T10:39:42-05:00,14,3,11,0.6470588235294118,W,blue,blue,21408C,1233E,2567C,21408G
