Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #4,2024-10-26T11:50:05-04:00,20,38,-18,-0.3103448275862069,L,red,blue,38535A,321D,499A,333R
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #8,2024-10-26T12:22:01-04:00,15,0,15,1.0,W,blue,blue,1755K,499A,321D,333Z
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #10,2024-10-26T12:35:37-04:00,41,5,36,0.782608695652174,W,blue,blue,355U,38535D,321D,321B
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #13,2024-10-26T12:57:46-04:00,32,2,30,0.8823529411764706,W,red,red,333R,321D,38535C,321A
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #18,2024-10-26T13:29:10-04:00,40,10,30,0.6,W,blue,blue,333Z,38535A,321D,355Y
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #24,2024-10-26T14:43:26-04:00,33,10,23,0.5348837209302325,W,red,red,333S,321D,499R,38535D
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #31,2024-10-26T15:03:00-04:00,0,0,0,-1,D,blue,Tie,333R,355Y,499R,321D
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #28,2024-10-26T15:06:21-04:00,23,19,4,0.09523809523809523,W,red,red,38535C,321D,38535B,333S
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Qualifier #36,2024-10-26T15:38:00-04:00,0,0,0,-1,D,blue,Tie,321B,333Y,355U,321D
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,QF #4-1,2024-10-26T16:29:37-04:00,28,1,27,0.9310344827586207,W,red,red,321D,333Y,1755K,333Z
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,SF #2-1,2024-10-26T16:41:59-04:00,22,10,12,0.375,W,blue,blue,38535A,38535D,321D,333Y
Glenbrook South VEX V5RC HS/MS Qualifier #1; Glenview Illinois: VEX V5 Robotics Competition,Other,None,Final #1-1,2024-10-26T16:54:56-04:00,26,39,-13,-0.2,L,blue,red,333R,321A,321D,333Y
Lake Park High School West Campus V5RC HS High Stakes Roselle IL: VEX V5 Robotics Competition Tournament with In-Person Judging and Skills,Other,None,Qualifier #4,2024-11-02T11:16:05-04:00,7,45,-38,-0.7307692307692307,L,red,blue,321D,60172T,321B,321A
Lake Park High School West Campus V5RC HS High Stakes Roselle IL: VEX V5 Robotics Competition Tournament with In-Person Judging and Skills,Other,None,Qualifier #12,2024-11-02T11:44:36-04:00,19,15,4,0.11764705882352941,W,red,red,321D,1413S,38535C,60172X
Lake Park High School West Campus V5RC HS High Stakes Roselle IL: VEX V5 Robotics Competition Tournament with In-Person Judging and Skills,Other,None,Qualifier #23,2024-11-02T12:32:03-04:00,37,0,37,1.0,W,blue,blue,333V,60172V,321D,60441T
Lake Park High School West Campus V5RC HS High Stakes Roselle IL: VEX V5 Robotics Competition Tournament with In-Person Judging and Skills,Other,None,Qualifier #31,2024-11-02T13:36:26-04:00,22,15,7,0.1891891891891892,W,blue,blue,1413D,158A,321D,1413E
Lake Park High School West Campus V5RC HS High Stakes Roselle IL: VEX V5 Robotics Competition Tournament with In-Person Judging and Skills,Other,None,Qualifier #46,2024-11-02T14:29:28-04:00,27,26,1,0.018867924528301886,W,red,red,321D,20612A,4454C,1413C
