Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
2024-2025 High Stakes  SVVSD Erie High School: V5RC- High School,Other,None,Qualifier #8,2024-10-26T12:18:42-04:00,26,16,10,0.23809523809523808,W,blue,blue,54996A,99751H,3946S,99751E
2024-2025 High Stakes  SVVSD Erie High School: V5RC- High School,Other,None,Qualifier #18,2024-10-26T12:59:25-04:00,21,3,18,0.75,W,red,red,32092E,3946S,80634Z,4265V
2024-2025 High Stakes  SVVSD Erie High School: V5RC- High School,Other,None,Qualifier #24,2024-10-26T13:21:45-04:00,3,23,-20,-0.7692307692307693,L,blue,red,99751X,32092D,77717B,3946S
2024-2025 High Stakes  SVVSD Erie High School: V5RC- High School,Other,None,Qualifier #28,2024-10-26T13:37:51-04:00,6,17,-11,-0.4782608695652174,L,red,blue,3946S,54996B,3946W,3743G
2024-2025 High Stakes  SVVSD Erie High School: V5RC- High School,Other,None,Qualifier #36,2024-10-26T14:54:58-04:00,32,17,15,0.30612244897959184,W,blue,blue,32092F,32092G,3946S,4265G
2024-2025 High Stakes  SVVSD Erie High School: V5RC- High School,Other,None,Qualifier #48,2024-10-26T15:37:58-04:00,30,10,20,0.5,W,red,red,3946S,77717F,3743F,32092B
2024-2025 High Stakes  SVVSD Erie High School: V5RC- High School,Other,None,R16 #8-1,2024-10-26T17:14:30-04:00,4,23,-19,-0.7037037037037037,L,blue,red,4265V,32092E,3946S,3946H
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,Qualifier #1,2024-11-16T11:40:13-05:00,26,24,2,0.04,W,red,red,32092C,3946S,3946E,80550Y
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,Qualifier #9,2024-11-16T12:21:32-05:00,24,19,5,0.11627906976744186,W,blue,blue,80550H,3946W,32092E,3946S
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,Qualifier #13,2024-11-16T12:39:37-05:00,29,0,29,1.0,W,blue,blue,80550G,3743F,3946S,1166B
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,Qualifier #23,2024-11-16T13:22:00-05:00,10,0,10,1.0,W,red,red,3946S,48895A,1166N,3946H
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,Qualifier #32,2024-11-16T13:59:22-05:00,18,41,-23,-0.3898305084745763,L,red,blue,3946S,1166B,85227B,32092G
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,Qualifier #37,2024-11-16T15:06:31-05:00,16,34,-18,-0.36,L,blue,red,3946A,77717F,32092F,3946S
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,Qualifier #41,2024-11-16T15:30:22-05:00,18,34,-16,-0.3076923076923077,L,red,blue,32092B,3946S,80550F,3946W
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,QF #2-1,2024-11-16T16:49:52-05:00,33,25,8,0.13793103448275862,W,red,red,3946W,3946S,32092E,1166B
High Stakes Tournament at Lutheran High School presented by SNC: VEX V5 Robotics Competition 2024-2025: Blended MS/HS All In-Person Judging,Other,None,SF #1-1,2024-11-16T17:10:46-05:00,26,48,-22,-0.2972972972972973,L,blue,red,32092G,1166Z,3946W,3946S
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,Qualifier #3,2024-12-14T11:15:03-05:00,10,25,-15,-0.42857142857142855,L,blue,red,3946R,3946W,55745F,3946S
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,Qualifier #10,2024-12-14T11:53:51-05:00,11,15,-4,-0.15384615384615385,L,red,blue,3946S,3946N,2654A,13358A
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,Qualifier #13,2024-12-14T12:07:30-05:00,11,19,-8,-0.26666666666666666,L,red,blue,2481D,3946S,3946H,3946A
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,Qualifier #21,2024-12-14T12:40:06-05:00,43,4,39,0.8297872340425532,W,red,red,13358C,3946S,1166N,2481C
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,Qualifier #26,2024-12-14T13:01:30-05:00,29,27,2,0.03571428571428571,W,blue,blue,30809S,3946E,3946S,2654G
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,Qualifier #31,2024-12-14T13:23:45-05:00,32,2,30,0.8823529411764706,W,blue,blue,45539A,20969A,3946S,1166B
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,QF #3-1,2024-12-14T15:42:03-05:00,37,5,32,0.7619047619047619,W,red,red,1166B,3946S,13358A,55745F
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,SF #2-1,2024-12-14T16:00:17-05:00,38,30,8,0.11764705882352941,W,red,red,1166B,3946S,3946W,3946E
KDS Robotics VEX  High Stakes Qualifier 1: VEX V5 Robotics Competition 2024-2025: High Stakes MS/HS,Other,None,Final #1-1,2024-12-14T16:21:14-05:00,0,48,-48,-1.0,L,blue,red,2654E,13358C,1166B,3946S
KDS Robotics VEX V5 High Stakes Qualifier 2- Blended MS/HS: VEX V5 Robotics Competition 2024-2025: High Stakes Hosted by KDS Robotics,Other,None,Qualifier #4,2025-02-15T11:23:42-05:00,24,14,10,0.2631578947368421,W,blue,blue,2481A,30809S,3946S,32092A
KDS Robotics VEX V5 High Stakes Qualifier 2- Blended MS/HS: VEX V5 Robotics Competition 2024-2025: High Stakes Hosted by KDS Robotics,Other,None,Qualifier #8,2025-02-15T11:40:56-05:00,34,10,24,0.5454545454545454,W,red,red,32092G,3946S,32092B,70200A
KDS Robotics VEX V5 High Stakes Qualifier 2- Blended MS/HS: VEX V5 Robotics Competition 2024-2025: High Stakes Hosted by KDS Robotics,Other,None,Qualifier #19,2025-02-15T12:18:16-05:00,22,25,-3,-0.06382978723404255,L,blue,red,70200B,3946R,6356N,3946S
KDS Robotics VEX V5 High Stakes Qualifier 2- Blended MS/HS: VEX V5 Robotics Competition 2024-2025: High Stakes Hosted by KDS Robotics,Other,None,Qualifier #28,2025-02-15T12:53:02-05:00,39,12,27,0.5294117647058824,W,red,red,32092E,3946S,77717B,6356H
