Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
Hall Robotics VEX V5 October High Stakes Qualifier: 5th Annual CT Season Opener,Other,None,Qualifier #2,2024-10-19T09:17:10-04:00,25,4,21,0.7241379310344828,W,red,red,5150J,17814A,5150K,4478C
Hall Robotics VEX V5 October High Stakes Qualifier: 5th Annual CT Season Opener,Other,None,Qualifier #22,2024-10-19T10:16:37-04:00,8,27,-19,-0.5428571428571428,L,blue,red,119B,17814W,5150J,18891C
Hall Robotics VEX V5 October High Stakes Qualifier: 5th Annual CT Season Opener,Other,None,Qualifier #40,2024-10-19T11:11:14-04:00,11,23,-12,-0.35294117647058826,L,blue,red,5150D,5150F,5150J,78889K
Hall Robotics VEX V5 October High Stakes Qualifier: 5th Annual CT Season Opener,Other,None,Qualifier #62,2024-10-19T12:24:39-04:00,22,17,5,0.1282051282051282,W,red,red,99397C,5150J,8878E,1695C
Hall Robotics VEX V5 October High Stakes Qualifier: 5th Annual CT Season Opener,Other,None,R16 #8-1,2024-10-19T15:53:23-04:00,29,6,23,0.6571428571428571,W,red,red,5150E,5150J,4478J,5150H
Hall Robotics VEX V5 October High Stakes Qualifier: 5th Annual CT Season Opener,Other,None,QF #4-1,2024-10-19T16:17:03-04:00,11,33,-22,-0.5,L,blue,red,9909M,228A,5150E,5150J
SAINTS Robotics High School V5RC High Stakes Qualifier,Other,None,Qualifier #5,2024-11-02T09:31:20-04:00,25,6,19,0.6129032258064516,W,blue,blue,5150F,5150H,5150J,9909M
SAINTS Robotics High School V5RC High Stakes Qualifier,Other,None,Qualifier #10,2024-11-02T09:48:37-04:00,4,3,1,0.14285714285714285,W,red,red,4478C,5150J,9909D,119Y
SAINTS Robotics High School V5RC High Stakes Qualifier,Other,None,Qualifier #27,2024-11-02T10:51:32-04:00,29,32,-3,-0.04918032786885246,L,red,blue,119X,5150J,5150D,119B
SAINTS Robotics High School V5RC High Stakes Qualifier,Other,None,Qualifier #31,2024-11-02T11:08:21-04:00,23,16,7,0.1794871794871795,W,blue,blue,4478Z,78889W,5150J,75432A
SAINTS Robotics High School V5RC High Stakes Qualifier,Other,None,Qualifier #38,2024-11-02T11:36:34-04:00,25,0,25,1.0,W,red,red,5150J,78889X,9909C,78889N
SAINTS Robotics High School V5RC High Stakes Qualifier,Other,None,Qualifier #50,2024-11-02T12:16:11-04:00,30,24,6,0.1111111111111111,W,blue,blue,4478U,228A,4478N,5150J
SAINTS Robotics High School V5RC High Stakes Qualifier,Other,None,Qualifier #58,2024-11-02T12:50:11-04:00,18,33,-15,-0.29411764705882354,L,red,blue,5150J,5150K,9909B,4478B
SAINTS Robotics High School V5RC High Stakes Qualifier,Other,None,R16 #7-1,2024-11-02T14:36:22-04:00,0,3,-3,-1.0,L,red,blue,228A,5150J,9909C,9909D
Daniel Hand High School - CTEEA VEX “High Stakes” Qualifier,Other,None,Qualifier #7,2024-11-16T09:40:52-05:00,25,33,-8,-0.13793103448275862,L,blue,red,119B,1695C,5150J,80258B
Daniel Hand High School - CTEEA VEX “High Stakes” Qualifier,Other,None,Qualifier #19,2024-11-16T10:24:40-05:00,17,0,17,1.0,W,red,red,5150J,9909C,50170B,1697B
Daniel Hand High School - CTEEA VEX “High Stakes” Qualifier,Other,None,Qualifier #32,2024-11-16T11:02:26-05:00,42,1,41,0.9534883720930233,W,blue,blue,99088A,17814X,119X,5150J
Daniel Hand High School - CTEEA VEX “High Stakes” Qualifier,Other,None,Qualifier #48,2024-11-16T11:53:46-05:00,6,21,-15,-0.5555555555555556,L,red,blue,99088C,5150J,5150D,5150E
