Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Qualifier #7,2024-11-01T22:37:19-04:00,22,34,-12,-0.21428571428571427,L,red,blue,77779X,74000M,666K,885Y
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Qualifier #13,2024-11-01T23:11:48-04:00,45,21,24,0.36363636363636365,W,red,red,74000M,666A,74000P,88848W
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Qualifier #17,2024-11-01T23:36:38-04:00,20,23,-3,-0.06976744186046512,L,blue,red,1699X,81531W,74000M,291V
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Qualifier #27,2024-11-02T01:30:32-04:00,29,30,-1,-0.01694915254237288,L,blue,red,28S,88848V,74000V,74000M
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Qualifier #33,2024-11-02T02:07:56-04:00,35,30,5,0.07692307692307693,W,blue,blue,88848X,16666A,74000M,2746A
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Qualifier #41,2024-11-02T02:57:01-04:00,18,35,-17,-0.32075471698113206,L,red,blue,74000M,291Y,54001Z,1699Y
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Qualifier #46,2024-11-02T03:30:00-04:00,37,21,16,0.27586206896551724,W,blue,blue,54666A,291R,74000M,54001A
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Qualifier #53,2024-11-02T04:09:06-04:00,48,19,29,0.43283582089552236,W,blue,blue,885S,55667A,16666B,74000M
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,QF #2-1,2024-11-02T22:01:33-04:00,41,12,29,0.5471698113207547,W,red,red,54001A,74000M,28S,2746A
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,SF #1-1,2024-11-02T22:51:00-04:00,20,10,10,0.3333333333333333,W,blue,blue,16666B,54666A,54001A,74000M
2024第十五届VEX亚洲机器人锦标赛中国选拔赛中西部区赛--VEX V5高中组,Other,None,Final #1-1,2024-11-02T23:00:09-04:00,31,42,-11,-0.1506849315068493,L,red,blue,54001A,74000M,54001Z,16666A
第三十一届江苏省青少年科技模型大赛——VEX机器人工程挑战赛决赛（VEX-EDR机器人工程挑战赛高中组）,Other,None,Qualifier #2,2024-12-28T20:00:00-05:00,39,29,10,0.14705882352941177,W,red,red,74000M,117B,29039C,29039B
第三十一届江苏省青少年科技模型大赛——VEX机器人工程挑战赛决赛（VEX-EDR机器人工程挑战赛高中组）,Other,None,Qualifier #19,2024-12-28T21:30:00-05:00,36,24,12,0.2,W,blue,blue,69999F,25353B,123A,74000M
第三十一届江苏省青少年科技模型大赛——VEX机器人工程挑战赛决赛（VEX-EDR机器人工程挑战赛高中组）,Other,None,Qualifier #26,2024-12-28T22:00:00-05:00,26,44,-18,-0.2571428571428571,L,blue,red,2661A,2746A,45688B,74000M
第三十一届江苏省青少年科技模型大赛——VEX机器人工程挑战赛决赛（VEX-EDR机器人工程挑战赛高中组）,Other,None,Qualifier #36,2024-12-28T22:50:00-05:00,36,14,22,0.44,W,red,red,74000M,54985A,74708F,45688C
第三十一届江苏省青少年科技模型大赛——VEX机器人工程挑战赛决赛（VEX-EDR机器人工程挑战赛高中组）,Other,None,Qualifier #51,2024-12-29T01:25:00-05:00,20,36,-16,-0.2857142857142857,L,red,blue,20089X,74000M,88851C,88851A
第三十一届江苏省青少年科技模型大赛——VEX机器人工程挑战赛决赛（VEX-EDR机器人工程挑战赛高中组）,Other,None,Qualifier #65,2024-12-29T02:35:00-05:00,32,23,9,0.16363636363636364,W,blue,blue,18502A,25353C,2618A,74000M
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Qualifier #2,2025-01-20T00:41:44-05:00,42,35,7,0.09090909090909091,W,red,red,74000M,12883A,29039B,69960H
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Qualifier #17,2025-01-20T02:00:38-05:00,8,39,-31,-0.6595744680851063,L,blue,red,2052B,28666C,82825S,74000M
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Qualifier #21,2025-01-20T02:24:59-05:00,37,26,11,0.1746031746031746,W,red,red,74000M,666A,16666B,24108K
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Qualifier #29,2025-01-20T03:04:33-05:00,39,38,1,0.012987012987012988,W,red,red,90606W,74000M,7937B,69999A
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Qualifier #37,2025-01-20T03:46:08-05:00,39,34,5,0.0684931506849315,W,blue,blue,2618S,74000P,66666C,74000M
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Qualifier #53,2025-01-20T20:11:29-05:00,47,29,18,0.23684210526315788,W,blue,blue,666S,88860A,16666A,74000M
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,QF #3-1,2025-01-20T21:10:07-05:00,43,28,15,0.2112676056338028,W,red,red,74000M,12883A,88860B,7925B
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,SF #2-1,2025-01-20T21:33:28-05:00,40,15,25,0.45454545454545453,W,red,red,74000M,12883A,2052B,28A
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Final #1-1,2025-01-20T21:55:04-05:00,9,41,-32,-0.64,L,blue,red,666A,16666A,74000M,12883A
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Final #1-2,2025-01-20T22:08:27-05:00,37,32,5,0.07246376811594203,W,blue,blue,666A,16666A,74000M,12883A
2024世界机器人大赛总决赛V5RC赛项高中组,National,None,Final #1-3,2025-01-20T22:33:38-05:00,30,34,-4,-0.0625,L,blue,red,666A,16666A,74000M,12883A
2024-2025 VEX Robotics Competition Asia Open Finals (V5RC_HS),National,None,Qualifier #6,2025-02-21T01:00:10-05:00,20,28,-8,-0.16666666666666666,L,red,blue,74000M,51121Z,7618A,7258A
2024-2025 VEX Robotics Competition Asia Open Finals (V5RC_HS),National,None,Qualifier #10,2025-02-21T01:43:11-05:00,41,34,7,0.09333333333333334,W,red,red,29588J,74000M,7258Y,12367X
2024-2025 VEX Robotics Competition Asia Open Finals (V5RC_HS),National,None,Qualifier #17,2025-02-21T02:58:24-05:00,31,37,-6,-0.08823529411764706,L,blue,red,33333C,81818X,74000M,20089X
2024-2025 VEX Robotics Competition Asia Open Finals (V5RC_HS),National,None,Qualifier #20,2025-02-21T03:32:17-05:00,37,16,21,0.39622641509433965,W,blue,blue,7258Y,81988B,74000M,8223C
2024-2025 VEX Robotics Competition Asia Open Finals (V5RC_HS),National,None,Qualifier #25,2025-02-21T04:23:28-05:00,44,36,8,0.1,W,red,red,74000M,8223C,82435X,291R
