Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,Qualifier #3,2024-10-19T10:48:00-04:00,32,25,7,0.12280701754385964,W,red,red,7447G,8926W,3796G,8686F
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,Qualifier #11,2024-10-19T11:21:30-04:00,31,15,16,0.34782608695652173,W,blue,blue,21510B,3796A,7447G,3796D
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,Qualifier #20,2024-10-19T12:02:24-04:00,19,37,-18,-0.32142857142857145,L,blue,red,3796H,3796K,7447G,8686M
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,Qualifier #31,2024-10-19T13:06:30-04:00,37,36,1,0.0136986301369863,W,red,red,7447G,4825A,21510W,3796B
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,Qualifier #49,2024-10-19T14:03:40-04:00,8,31,-23,-0.5897435897435898,L,blue,red,3796J,44252C,7447G,60708C
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,Qualifier #57,2024-10-19T14:43:51-04:00,28,36,-8,-0.125,L,red,blue,7447G,9447W,40994C,65162C
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,R16 #3-1,2024-10-19T15:24:02-04:00,27,4,23,0.7419354838709677,W,red,red,65162A,7447G,3796A,3796B
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,QF #2-1,2024-10-19T15:50:11-04:00,31,21,10,0.19230769230769232,W,red,red,65162A,7447G,3796J,3796D
JL Mann VEX V5 Robotics Competition Season Opener: Middle and High School Teams,Other,None,SF #1-1,2024-10-19T16:03:51-04:00,0,44,-44,-1.0,L,blue,red,65162C,8926W,65162A,7447G
PCCTC VEX V5 MS/HS Robotics Competition: Middle and High School Teams,Other,Event Region Championship,Qualifier #8,2024-11-02T10:52:32-04:00,26,3,23,0.7931034482758621,W,red,red,7447G,40994E,14512A,415C
PCCTC VEX V5 MS/HS Robotics Competition: Middle and High School Teams,Other,Event Region Championship,Qualifier #11,2024-11-02T11:19:07-04:00,22,19,3,0.07317073170731707,W,blue,blue,3796J,9623W,7447G,40994D
PCCTC VEX V5 MS/HS Robotics Competition: Middle and High School Teams,Other,Event Region Championship,Qualifier #22,2024-11-02T12:47:49-04:00,38,13,25,0.49019607843137253,W,blue,blue,9623K,87841A,7447G,97735X
PCCTC VEX V5 MS/HS Robotics Competition: Middle and High School Teams,Other,Event Region Championship,Qualifier #29,2024-11-02T13:13:11-04:00,43,16,27,0.4576271186440678,W,red,red,8926W,7447G,415E,415D
PCCTC VEX V5 MS/HS Robotics Competition: Middle and High School Teams,Other,Event Region Championship,Qualifier #37,2024-11-02T13:55:37-04:00,26,16,10,0.23809523809523808,W,blue,blue,3796A,85986A,7447E,7447G
PCCTC VEX V5 MS/HS Robotics Competition: Middle and High School Teams,Other,Event Region Championship,Qualifier #43,2024-11-02T14:30:59-04:00,24,6,18,0.6,W,red,red,7447G,57224A,85986B,415A
PCCTC VEX V5 MS/HS Robotics Competition: Middle and High School Teams,Other,Event Region Championship,QF #3-1,2024-11-02T15:51:15-04:00,18,27,-9,-0.2,L,red,blue,7447G,97735X,415A,415J
Pickens Middle VEX V5 MS/HS Robotics Competition: MS/HS  Tournament,Other,None,Qualifier #14,2024-12-14T12:34:45-05:00,3,3,0,0.0,D,red,Tie,97625C,7447G,98791C,55430A
Pickens Middle VEX V5 MS/HS Robotics Competition: MS/HS  Tournament,Other,None,Qualifier #21,2024-12-14T13:03:11-05:00,7,12,-5,-0.2631578947368421,L,blue,red,415J,13115D,7447G,97625A
Pickens Middle VEX V5 MS/HS Robotics Competition: MS/HS  Tournament,Other,None,Qualifier #33,2024-12-14T13:45:39-05:00,19,3,16,0.7272727272727273,W,blue,blue,1660A,55430C,13115B,7447G
Pickens Middle VEX V5 MS/HS Robotics Competition: MS/HS  Tournament,Other,None,Qualifier #47,2024-12-14T14:35:37-05:00,13,7,6,0.3,W,red,red,7447G,415E,3796C,415F
Pickens Middle VEX V5 MS/HS Robotics Competition: MS/HS  Tournament,Other,None,Qualifier #70,2024-12-14T15:55:03-05:00,11,8,3,0.15789473684210525,W,red,red,98791B,7447G,40994F,7447F
Pickens Middle VEX V5 MS/HS Robotics Competition: MS/HS  Tournament,Other,None,Qualifier #77,2024-12-14T16:18:42-05:00,9,16,-7,-0.28,L,blue,red,3796E,7447D,97625D,7447G
Pickens Middle VEX V5 MS/HS Robotics Competition: MS/HS  Tournament,Other,None,R16 #8-1,2024-12-14T17:39:03-05:00,6,17,-11,-0.4782608695652174,L,blue,red,29651C,8686M,3796C,7447G
Ice Scream Social (V5RC): Middle and High School Teams,Other,None,Qualifier #1,2025-01-18T10:38:45-05:00,39,3,36,0.8571428571428571,W,blue,blue,3796J,42748E,7447G,40994C
Ice Scream Social (V5RC): Middle and High School Teams,Other,None,Qualifier #23,2025-01-18T12:00:48-05:00,36,0,36,1.0,W,red,red,40994F,7447G,97625D,42748D
Ice Scream Social (V5RC): Middle and High School Teams,Other,None,Qualifier #34,2025-01-18T13:22:22-05:00,37,3,34,0.85,W,red,red,9623K,7447G,97049A,7447E
Ice Scream Social (V5RC): Middle and High School Teams,Other,None,Qualifier #50,2025-01-18T14:26:50-05:00,19,17,2,0.05555555555555555,W,blue,blue,40994B,60708C,916A,7447G
Ice Scream Social (V5RC): Middle and High School Teams,Other,None,Qualifier #62,2025-01-18T15:04:18-05:00,38,1,37,0.9487179487179487,W,red,red,95059D,7447G,42748C,29673B
