Event Name,Event Type,Title,Qualifications
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,Excellence Award (VRC/VEXU/VAIRC),
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,Tournament Champions (VRC/VEXU/VAIRC),
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,Robot Skills Champion (VRC/VEXU/VAIRC),
Torneo Regional de Robotica VEX Zona Noreste - UASLP - VRC,Other,Design Award (VRC/VEXU/VAIRC),
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,Tournament Champions (VRC/VEXU/VAIRC),World Championship
3er. Campeonato Internacional de la Frontera Norte: High School VEX V5 Robotics Comeptition Signature Event,Signature,Robot Skills Champion (VRC/VEXU/VAIRC),
Campeonato Regional de Occidente,Other,Excellence Award (VRC/VEXU/VAIRC),
Campeonato Regional de Occidente,Other,Tournament Champions (VRC/VEXU/VAIRC),
Colombia VEX V5 Robotics Competition Signature Event: High School,Signature,Tournament Champions (VRC/VEXU/VAIRC),
Colombia VEX V5 Robotics Competition Signature Event: High School,Signature,Robot Skills Champion (VRC/VEXU/VAIRC),
Colombia VEX V5 Robotics Competition Signature Event: High School,Signature,Design Award (VRC/VEXU/VAIRC),
16vo.Campeonato Nacional de Robótica y Habilidades STEM,Regional,Robot Skills Champion (VRC/VEXU/VAIRC),World Championship
