Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,Qualifier #2,2024-07-26T01:11:48-04:00,25,39,-14,-0.21875,L,red,blue,988A,86254B,54001Z,58859A
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,Qualifier #8,2024-07-26T02:06:02-04:00,43,23,20,0.30303030303030304,W,blue,blue,5864D,88X,86254B,88Y
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,Qualifier #15,2024-07-26T03:15:26-04:00,40,27,13,0.19402985074626866,W,blue,blue,86254A,88X,9698B,86254B
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,Qualifier #27,2024-07-26T05:15:37-04:00,20,34,-14,-0.25925925925925924,L,red,blue,13800C,86254B,5864B,5864C
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,Qualifier #33,2024-07-26T21:45:18-04:00,20,17,3,0.08108108108108109,W,red,red,20811W,86254B,88518J,54001A
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,Qualifier #40,2024-07-26T22:48:20-04:00,36,17,19,0.3584905660377358,W,red,red,860X,86254B,94815B,3283R
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,Qualifier #46,2024-07-27T00:57:41-04:00,26,22,4,0.08333333333333333,W,blue,blue,70216X,14316A,89866A,86254B
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,Qualifier #52,2024-07-27T01:58:26-04:00,29,26,3,0.05454545454545454,W,blue,blue,71113X,906W,3283R,86254B
2024“大湾区”VEX机器人全国邀请赛-VEX V5高中组,Other,None,R16 #2-1,2024-07-27T21:00:26-04:00,27,38,-11,-0.16923076923076924,L,red,blue,86254B,906W,20811W,13140D
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,Qualifier #6,2024-10-01T23:20:43-04:00,21,21,0,0.0,D,blue,Tie,93211B,93211A,86254B,92269A
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,Qualifier #14,2024-10-02T01:32:06-04:00,19,40,-21,-0.3559322033898305,L,red,blue,3677D,86254B,93211C,10592X
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,Qualifier #21,2024-10-02T02:09:42-04:00,32,25,7,0.12280701754385964,W,blue,blue,3677A,38888W,93211A,86254B
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,Qualifier #27,2024-10-02T02:38:16-04:00,13,27,-14,-0.35,L,red,blue,86254B,10825A,95271C,3677C
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,Qualifier #31,2024-10-02T21:33:47-04:00,33,21,12,0.2222222222222222,W,red,red,86254B,90699W,68762F,906W
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,Qualifier #43,2024-10-02T22:25:09-04:00,22,39,-17,-0.2786885245901639,L,blue,red,90606W,79001D,86254B,95271B
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,Qualifier #50,2024-10-03T01:31:13-04:00,3,25,-22,-0.7857142857142857,L,red,blue,86254B,13755G,82838V,3677B
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,Qualifier #53,2024-10-03T01:43:29-04:00,36,14,22,0.44,W,blue,blue,906Y,13755G,86254A,86254B
2024-2025赛季VEX 机器人亚洲公开赛佛山全国邀请赛-V5RC,Other,None,R16 #6-1,2024-10-03T21:50:27-04:00,29,30,-1,-0.01694915254237288,L,red,blue,86254B,10592X,95271C,79001A
2024-2025赛季VEX机器人亚洲公开赛华南大区赛V5RC_HS: 2024-2025 VEX Robotics Asia Open South China V5RC_HS,Other,None,Qualifier #3,2024-11-08T21:23:28-05:00,36,30,6,0.09090909090909091,W,red,red,86254B,906W,91888A,71467A
2024-2025赛季VEX机器人亚洲公开赛华南大区赛V5RC_HS: 2024-2025 VEX Robotics Asia Open South China V5RC_HS,Other,None,Qualifier #12,2024-11-08T22:22:08-05:00,31,33,-2,-0.03125,L,blue,red,9698S,12121A,18190D,86254B
2024-2025赛季VEX机器人亚洲公开赛华南大区赛V5RC_HS: 2024-2025 VEX Robotics Asia Open South China V5RC_HS,Other,None,Qualifier #19,2024-11-09T00:01:34-05:00,27,11,16,0.42105263157894735,W,red,red,77888E,86254B,19320S,10369F
2024-2025赛季VEX机器人亚洲公开赛华南大区赛V5RC_HS: 2024-2025 VEX Robotics Asia Open South China V5RC_HS,Other,None,Qualifier #28,2024-11-09T01:01:22-05:00,26,30,-4,-0.07142857142857142,L,blue,red,19320M,4275V,86254B,78857C
2024-2025赛季VEX机器人亚洲公开赛华南大区赛V5RC_HS: 2024-2025 VEX Robotics Asia Open South China V5RC_HS,Other,None,Qualifier #40,2024-11-09T02:41:03-05:00,28,20,8,0.16666666666666666,W,red,red,86254B,2683X,88109A,93211C
2024-2025赛季VEX机器人亚洲公开赛华南大区赛V5RC_HS: 2024-2025 VEX Robotics Asia Open South China V5RC_HS,Other,None,Qualifier #54,2024-11-09T04:16:16-05:00,15,33,-18,-0.375,L,blue,red,999D,25426Z,71639K,86254B
2024-2025赛季VEX机器人亚洲公开赛华南大区赛V5RC_HS: 2024-2025 VEX Robotics Asia Open South China V5RC_HS,Other,None,R16 #3-1,2024-11-09T22:26:49-05:00,11,25,-14,-0.3888888888888889,L,red,blue,906W,86254B,93211C,4275B
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,Qualifier #4,2024-12-19T19:22:49-05:00,21,44,-23,-0.35384615384615387,L,red,blue,4253B,86254B,4275V,17022A
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,Qualifier #16,2024-12-19T20:13:29-05:00,27,8,19,0.5428571428571428,W,blue,blue,92641B,4275B,96944Z,86254B
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,Qualifier #40,2024-12-19T22:21:09-05:00,35,1,34,0.9444444444444444,W,blue,blue,14683C,14797A,4253Y,86254B
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,Qualifier #48,2024-12-19T22:54:40-05:00,27,27,0,0.0,D,red,Tie,86254B,96969X,4275Z,66799X
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,Qualifier #69,2024-12-20T01:32:35-05:00,43,22,21,0.3230769230769231,W,blue,blue,75663A,92641A,1791V,86254B
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,Qualifier #82,2024-12-20T02:50:18-05:00,38,11,27,0.5510204081632653,W,red,red,86254B,96069X,66994S,839A
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,Qualifier #103,2024-12-20T19:41:14-05:00,38,3,35,0.8536585365853658,W,red,red,12305B,86254B,4253H,75016C
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,Qualifier #111,2024-12-20T20:27:43-05:00,1,25,-24,-0.9230769230769231,L,blue,red,96969Y,5864D,23083Z,86254B
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,R16 #3-1,2024-12-21T00:17:33-05:00,36,30,6,0.09090909090909091,W,red,red,86254B,96969Y,96969X,77701A
2024-2025 PAS-VEX VEX V5 Robotics Competition Signature Event: High School,Signature,World Championship,QF #2-1,2024-12-21T01:08:52-05:00,34,21,13,0.23636363636363636,W,red,red,86254B,96969Y,66799G,839A
