Event Name,Event Type,Qualification,Match Name,Start Time,Team Score,Opponent Score,Winning Margin,Normalised Winning Margin,Verdict,Team Alliance,Winning Alliance,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #5,2024-08-03T11:41:26-04:00,14,0,14,1.0,W,blue,blue,39K,3333W,39G,94Z
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #9,2024-08-03T12:00:22-04:00,9,35,-26,-0.5909090909090909,L,red,blue,94Z,3333T,7760X,94M
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #16,2024-08-03T12:41:59-04:00,3,3,0,0.0,D,red,Tie,94Y,94Z,3547K,94T
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #26,2024-08-03T14:24:55-04:00,0,34,-34,-1.0,L,blue,red,6210A,8626K,94Z,3333Y
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #32,2024-08-03T15:00:43-04:00,39,0,39,1.0,W,blue,blue,39T,94S,6210M,94Z
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,Qualifier #38,2024-08-03T15:25:08-04:00,7,24,-17,-0.5483870967741935,L,red,blue,94Z,38D,6210B,3333A
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,R16 #2-1,2024-08-03T16:07:29-04:00,6,6,0,0.0,D,blue,Tie,3333Y,3333W,94Y,94Z
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,R16 #2-2,2024-08-03T16:32:46-04:00,6,6,0,0.0,D,blue,Tie,3333Y,3333W,94Y,94Z
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,R16 #2-3,2024-08-03T16:56:01-04:00,9,6,3,0.2,W,blue,blue,3333Y,3333W,94Y,94Z
Monroe County Fair V5RC High Stakes MI Kickoff: Blended V5RC MS/HS Michigan Region 3 Qualifier,Other,None,QF #1-1,2024-08-03T17:31:18-04:00,0,40,-40,-1.0,L,blue,red,7760X,6210M,94Y,94Z
V5RC High Stakes @ Immokalee High School,Other,None,Qualifier #3,2024-11-02T10:19:25-04:00,6,41,-35,-0.7446808510638298,L,blue,red,77788P,50810X,94Z,77788X
V5RC High Stakes @ Immokalee High School,Other,None,Qualifier #13,2024-11-02T11:05:10-04:00,18,6,12,0.5,W,red,red,33172R,94Z,11476X,10101F
V5RC High Stakes @ Immokalee High School,Other,None,Qualifier #21,2024-11-02T11:44:54-04:00,26,18,8,0.18181818181818182,W,blue,blue,94T,41829A,94A,94Z
V5RC High Stakes @ Immokalee High School,Other,None,Qualifier #27,2024-11-02T13:03:06-04:00,17,14,3,0.0967741935483871,W,red,red,4154S,94Z,34532X,33418Y
V5RC High Stakes @ Immokalee High School,Other,None,Qualifier #35,2024-11-02T13:36:07-04:00,14,0,14,1.0,W,red,red,594Z,94Z,594A,33418A
V5RC High Stakes @ Immokalee High School,Other,None,Qualifier #41,2024-11-02T13:59:58-04:00,24,15,9,0.23076923076923078,W,blue,blue,10101R,10101P,94Z,11476Z
V5RC High Stakes @ Immokalee High School,Other,None,R16 #8-1,2024-11-02T15:49:05-04:00,22,3,19,0.76,W,red,red,94Z,94A,41829A,41829C
V5RC High Stakes @ Immokalee High School,Other,None,QF #4-1,2024-11-02T16:06:17-04:00,13,41,-28,-0.5185185185185185,L,blue,red,34532A,50810X,94Z,94A
Best in Southwest★FL ~ V5RC High Stakes,Other,None,Qualifier #2,2024-12-07T10:20:19-05:00,22,20,2,0.047619047619047616,W,red,red,94S,94Z,594B,4154R
Best in Southwest★FL ~ V5RC High Stakes,Other,None,Qualifier #11,2024-12-07T11:33:53-05:00,11,11,0,0.0,D,blue,Tie,6293D,594A,37371A,94Z
Best in Southwest★FL ~ V5RC High Stakes,Other,None,Qualifier #18,2024-12-07T12:06:45-05:00,13,29,-16,-0.38095238095238093,L,blue,red,94R,70260B,94Z,41829A
Best in Southwest★FL ~ V5RC High Stakes,Other,None,Qualifier #31,2024-12-07T13:15:36-05:00,8,20,-12,-0.42857142857142855,L,red,blue,94Z,55139B,94X,7121A
