Team,All Win Rate,All Avg For,All Avg Against,All Matches Played,Weighted Avg For,Weighted Avg Against,Weighted Normalized Win Margin,Regional+ Win Rate,Regional+ Matches Played,Signature+ Win Rate,Signature+ Matches Played,Elim Win Rate,Elim Avg For,Elim Avg Against,Elim Matches Played,Elim Regional+ Win Rate,Elim Regional+ Matches Played,Elim Signature+ Win Rate,Elim Signature+ Matches Played,All Win Rate Rank,All Avg For Rank,All Avg Against Rank,Weighted Avg For Rank,Weighted Avg Against Rank,Weighted Normalized Win Margin Rank,Regional+ Win Rate Rank,Signature+ Win Rate Rank,Elim Win Rate Rank,Elim Avg For Rank,Elim Avg Against Rank,Elim Regional+ Win Rate Rank,Elim Signature+ Win Rate Rank
97673Z,0.9,27.25,13.15,40,27.26829268292683,12.652439024390244,0.388739222148971,0.8571428571428571,21,0.7142857142857143,7,0.9,29.9,15.1,10,0.8,5,0.0,1,1,44,2,44,2,1,2,9,3,41,6,9,23
62629X,0.8658536585365854,33.829268292682926,16.76829268292683,82,33.39857651245551,20.09964412811388,0.28527102722431286,0.7407407407407407,27,0.5833333333333334,12,0.875,38.0,20.083333333333332,24,0.7142857142857143,7,0.0,2,2,9,14,10,20,4,14,26,4,2,22,14,23
1065A,0.8585858585858586,35.15151515151515,19.171717171717173,99,34.285714285714285,22.13809523809524,0.2347494512671668,0.7142857142857143,42,0.6875,32,0.9259259259259259,37.48148148148148,20.11111111111111,27,0.6,5,0.6666666666666666,3,3,4,28,6,36,10,20,12,1,3,23,29,7
20605A,0.8518518518518519,33.098765432098766,18.864197530864196,81,32.900311526479754,20.91277258566978,0.23345700240279016,0.7878787878787878,33,0.8,20,0.8076923076923077,34.46153846153846,20.26923076923077,26,0.7,10,0.8,5,4,12,25,14,26,11,7,3,10,16,25,18,3
53999P,0.8333333333333334,31.62962962962963,15.277777777777779,54,32.354609929078016,16.02127659574468,0.33479770693042055,0.9090909090909091,11,0.0,0,0.75,31.6,16.2,20,0.8,5,0.0,0,5,20,5,16,4,3,1,49,18,27,10,9,23
360X,0.8205128205128205,35.572649572649574,21.82905982905983,117,34.993527508090615,23.508090614886733,0.20979451534750407,0.7536231884057971,69,0.7627118644067796,59,0.7714285714285715,35.6,22.228571428571428,35,0.5294117647058824,17,0.5333333333333333,15,6,3,57,3,53,14,12,5,16,10,47,37,15
9231A,0.8148148148148148,37.407407407407405,16.14814814814815,27,37.790849673202615,18.895424836601308,0.33516395184031555,0.7727272727272727,22,0.6363636363636364,11,0.8333333333333334,36.833333333333336,17.666666666666668,6,0.8333333333333334,6,0.6666666666666666,3,7,1,9,2,13,2,9,19,6,6,13,7,7
937X,0.8,33.9,20.9,60,33.6144578313253,24.10843373493976,0.20113270689074925,0.7586206896551724,29,0.6428571428571429,14,0.8095238095238095,36.23809523809524,21.142857142857142,21,0.8181818181818182,11,0.6666666666666666,6,8,8,42,9,62,16,11,18,8,8,40,8,7
1115E,0.7941176470588235,32.009803921568626,21.735294117647058,102,31.126436781609197,24.07758620689655,0.15505773965681147,0.6129032258064516,31,0.35294117647058826,17,0.8214285714285714,35.857142857142854,23.535714285714285,28,0.7142857142857143,7,0.0,1,9,18,55,22,61,30,39,43,7,9,56,14,23
4828X,0.788235294117647,31.941176470588236,19.647058823529413,85,32.21052631578947,22.489164086687307,0.1974965435174412,0.7333333333333333,30,0.7619047619047619,21,0.7916666666666666,33.958333333333336,20.333333333333332,24,0.5714285714285714,7,0.6,5,10,19,33,18,41,18,18,6,14,17,26,36,14
8047F,0.7846153846153846,27.369230769230768,15.876923076923077,65,29.386363636363637,18.119318181818183,0.23628592959692307,0.7380952380952381,42,0.6875,32,0.9230769230769231,32.30769230769231,16.53846153846154,13,0.8888888888888888,9,0.8888888888888888,9,11,42,8,32,10,9,15,12,2,25,11,5,1
210Z,0.7777777777777778,33.523809523809526,21.015873015873016,63,33.7319587628866,22.243986254295532,0.19923862934792544,0.7352941176470589,34,0.7142857142857143,21,0.8095238095238095,35.0,20.952380952380953,21,0.6666666666666666,9,0.6666666666666666,3,12,11,44,8,38,17,16,9,8,14,33,20,7
2775V,0.7698412698412699,35.0,20.817460317460316,126,34.85526315789474,23.283625730994153,0.2060803698180738,0.7088607594936709,79,0.6615384615384615,65,0.8048780487804879,36.829268292682926,24.390243902439025,41,0.7777777777777778,27,0.7272727272727273,22,13,5,41,4,49,15,21,16,11,7,60,11,4
321D,0.7627118644067796,28.576271186440678,17.728813559322035,59,29.14864864864865,20.135135135135137,0.244429463511872,0.6,10,0.0,0,0.631578947368421,31.05263157894737,21.05263157894737,19,0.5,2,0.0,0,14,35,18,34,23,8,42,49,47,30,36,38,23
6293X,0.7619047619047619,32.26984126984127,19.26984126984127,63,33.16969696969697,20.133333333333333,0.2665770325552694,0.8461538461538461,13,0.0,0,0.75,34.8125,19.1875,16,1.0,5,0.0,0,15,16,29,11,21,5,3,49,18,15,16,1,23
81785K,0.7560975609756098,17.75609756097561,10.78048780487805,41,18.919642857142858,12.071428571428571,0.2536771996747207,0.7,10,0.0,0,0.8,19.2,12.9,10,1.0,2,0.0,0,16,77,1,78,1,6,22,49,12,72,3,1,23
1381P,0.7469879518072289,28.783132530120483,18.951807228915662,83,30.536,20.804,0.1974303703145421,0.6842105263157895,19,0.6666666666666666,9,0.7391304347826086,30.304347826086957,19.434782608695652,23,0.3333333333333333,3,0.0,1,17,33,27,26,25,19,25,14,22,34,19,55,23
80001B,0.7375,36.4125,25.2125,80,38.15803814713897,25.108991825613078,0.2205971598275315,0.8292682926829268,41,0.8928571428571429,28,0.6923076923076923,37.07692307692308,27.46153846153846,26,0.7142857142857143,14,0.7272727272727273,11,18,2,77,1,73,12,4,1,30,4,73,14,4
1011X,0.7362637362637363,34.27472527472528,23.813186813186814,91,34.32423208191126,25.040955631399317,0.17387951157788778,0.75,24,0.8461538461538461,13,0.6666666666666666,35.083333333333336,26.791666666666668,24,0.6666666666666666,6,0.6666666666666666,3,19,6,71,5,72,26,13,2,34,13,72,20,7
20096G,0.7362637362637363,32.56043956043956,23.725274725274726,91,32.925714285714285,25.51142857142857,0.14151307299201457,0.7352941176470589,34,0.5909090909090909,22,0.8,35.2,23.32,25,0.8571428571428571,7,0.5,2,19,14,70,13,74,34,16,25,12,11,53,6,16
32792B,0.7297297297297297,34.067567567567565,18.013513513513512,74,32.14754098360656,19.557377049180328,0.24741707996794854,0.5714285714285714,21,0.5454545454545454,11,0.7368421052631579,37.0,19.63157894736842,19,0.3333333333333333,3,0.0,1,21,7,21,19,17,7,46,31,23,5,20,55,23
99040E,0.7288135593220338,30.76271186440678,20.050847457627118,59,31.064885496183205,23.229007633587788,0.15749619049576882,0.6551724137931034,29,0.631578947368421,19,0.6923076923076923,33.15384615384615,18.0,13,0.4,5,0.3333333333333333,3,22,22,35,23,48,29,31,20,30,19,14,52,22
99904W,0.7280701754385965,32.28947368421053,21.333333333333332,114,32.28767123287671,23.796803652968038,0.17335170909178618,0.6585365853658537,41,0.6551724137931034,29,0.6451612903225806,35.096774193548384,25.741935483870968,31,0.5,10,0.4,5,23,15,49,17,57,27,30,17,44,12,67,38,20
96504E,0.7272727272727273,27.98181818181818,17.672727272727272,55,28.067010309278352,20.1340206185567,0.17408060514043547,0.65,20,0.75,8,0.6666666666666666,30.25,21.416666666666668,12,0.5,2,0.0,0,24,39,17,41,22,25,34,7,34,35,41,38,23
8349U,0.7191011235955056,30.314606741573034,21.348314606741575,89,30.392059553349878,23.893300248138956,0.12768146381534654,0.6590909090909091,44,0.5483870967741935,31,0.7142857142857143,29.523809523809526,20.952380952380953,21,0.6,10,0.4,5,25,25,51,27,59,39,29,30,26,43,33,29,20
66799G,0.7105263157894737,33.63157894736842,26.0,38,34.05194805194805,26.7987012987013,0.12417888793456608,0.7647058823529411,17,0.7777777777777778,9,0.5714285714285714,32.714285714285715,30.0,7,0.5,4,0.5,2,26,10,79,7,78,42,10,4,57,22,80,38,16
3723A,0.7083333333333334,23.041666666666668,15.125,24,23.987654320987655,16.85185185185185,0.14577972531034955,0.5454545454545454,11,0.0,0,0.6666666666666666,26.0,10.0,3,0.0,1,0.0,0,27,63,4,61,7,31,51,49,34,57,2,62,23
9065H,0.7058823529411765,24.647058823529413,17.61764705882353,34,24.29591836734694,19.020408163265305,0.17896895448305636,0.7,10,0.0,0,0.7777777777777778,27.444444444444443,13.88888888888889,9,1.0,3,0.0,0,28,55,16,60,15,24,22,49,15,54,4,1,23
10478S,0.7058823529411765,24.50980392156863,16.823529411764707,51,26.94557823129252,18.897959183673468,0.1810221242620625,0.7333333333333333,15,0.0,0,0.8461538461538461,30.0,14.307692307692308,13,0.6666666666666666,3,0.0,0,28,56,15,48,14,23,18,49,5,38,5,20,23
2567C,0.7049180327868853,30.25409836065574,21.081967213114755,122,31.323170731707318,23.036585365853657,0.18238102828898578,0.6666666666666666,18,0.6,10,0.6666666666666666,30.866666666666667,22.966666666666665,30,0.0,1,0.0,1,30,26,46,21,46,22,26,22,34,32,52,62,23
7192F,0.7012987012987013,31.207792207792206,22.09090909090909,77,32.005434782608695,22.418478260869566,0.18882632970725272,0.8,10,0.0,0,0.75,33.85,22.45,20,1.0,2,0.0,0,31,21,59,20,40,20,5,49,18,18,49,1,23
603B,0.6885245901639344,22.483606557377048,16.42622950819672,122,22.802292263610315,18.04297994269341,0.1452975264463639,0.6,25,0.3,10,0.6875,24.6875,15.46875,32,0.625,8,0.0,1,32,66,10,68,9,32,42,48,32,64,8,28,23
1229W,0.6842105263157895,32.07368421052632,21.13684210526316,95,30.769886363636363,24.926136363636363,0.11360579596343773,0.5151515151515151,33,0.47619047619047616,21,0.6521739130434783,32.91304347826087,20.652173913043477,23,0.6,5,0.0,1,33,17,47,25,71,49,57,34,42,20,28,29,23
35016Z,0.6770833333333334,27.125,19.625,96,27.063063063063062,21.74774774774775,0.12489994996151926,0.6551724137931034,29,0.5555555555555556,18,0.7083333333333334,31.458333333333332,21.083333333333332,24,0.6,5,0.5,2,34,45,32,45,32,41,31,28,28,28,37,29,16
8889S,0.6744186046511628,29.906976744186046,21.325581395348838,43,29.675824175824175,23.412087912087912,0.14501385749291218,0.5454545454545454,22,0.6,10,0.6666666666666666,30.666666666666668,21.75,12,0.3333333333333333,3,0.0,1,35,29,48,30,51,33,51,22,34,33,44,55,23
83149B,0.6666666666666666,28.866666666666667,19.4,45,29.666666666666668,21.642857142857142,0.1706326215647541,0.5,12,0.0,0,0.7142857142857143,32.714285714285715,20.928571428571427,14,0.5,2,0.0,0,36,31,30,31,31,28,59,49,26,22,31,38,23
2011C,0.6629213483146067,28.0,21.02247191011236,89,28.3840830449827,22.37370242214533,0.1357265804943083,0.6666666666666666,24,0.46153846153846156,13,0.6666666666666666,28.666666666666668,22.047619047619047,21,0.5,4,0.0,1,37,38,45,39,39,37,26,37,34,47,46,38,23
3131V,0.6593406593406593,27.78021978021978,20.912087912087912,91,28.169576059850375,22.86783042394015,0.11675625951889204,0.5952380952380952,42,0.5806451612903226,31,0.72,28.88,23.4,25,0.7272727272727273,11,0.625,8,38,41,43,40,43,46,45,27,25,46,54,13,13
64783A,0.6590909090909091,23.113636363636363,15.340909090909092,44,22.606299212598426,16.748031496062993,0.18446835049982613,0.6153846153846154,13,0.0,0,0.6,23.2,18.933333333333334,15,0.6666666666666666,6,0.0,0,39,62,6,69,6,21,36,49,52,67,15,20,23
839Z,0.654320987654321,29.333333333333332,24.506172839506174,81,29.082644628099175,26.267217630853995,0.05229838483500408,0.6052631578947368,38,0.7241379310344828,29,0.6538461538461539,30.884615384615383,26.307692307692307,26,0.6363636363636364,11,0.7,10,40,30,74,35,77,64,41,8,41,31,71,27,6
12478X,0.651685393258427,30.06741573033708,23.584269662921347,89,31.041509433962265,24.535849056603773,0.13921379200805684,0.55,20,0.5555555555555556,9,0.5,28.2,24.85,20,0.0,2,0.0,1,41,28,69,24,69,35,49,28,63,50,62,62,23
7870Y,0.6451612903225806,24.838709677419356,18.306451612903224,62,24.796178343949045,20.095541401273884,0.11513392423739838,0.2727272727272727,11,0.0,0,0.7,29.05,21.1,20,0.3333333333333333,3,0.0,0,42,54,24,58,19,48,78,49,29,45,39,55,23
6741R,0.6442307692307693,27.28846153846154,21.41346153846154,104,26.95784543325527,22.12177985948478,0.10474944908085707,0.6097560975609756,41,0.625,32,0.5652173913043478,27.91304347826087,21.0,23,0.6,5,0.6666666666666666,3,43,43,53,47,35,51,40,21,58,52,35,29,7
2072C,0.6434782608695652,30.14782608695652,22.530434782608694,115,29.163967611336034,24.439271255060728,0.09676944563364835,0.54,50,0.47368421052631576,38,0.56,32.84,23.68,25,0.4,5,0.0,2,44,27,62,33,66,52,55,36,59,21,57,52,23
14241A,0.6428571428571429,26.214285714285715,21.333333333333332,42,27.027027027027028,22.117117117117118,0.1110864961273879,0.5555555555555556,9,0.0,0,0.375,24.5,26.25,8,0.0,1,0.0,0,45,48,49,46,34,50,47,49,74,65,70,62,23
9784A,0.6415094339622641,26.0188679245283,18.30188679245283,106,26.721448467966574,21.41225626740947,0.12005580685593421,0.5517241379310345,29,0.6,20,0.6086956521739131,26.304347826086957,16.82608695652174,23,0.0,2,0.0,1,46,50,23,51,29,45,48,22,51,55,12,62,23
59001A,0.6410256410256411,22.923076923076923,17.743589743589745,39,24.923076923076923,19.957264957264957,0.12056530327884496,0.6153846153846154,13,0.0,0,0.5,25.0,25.5,10,0.6,5,0.0,0,47,65,19,57,18,44,36,49,63,61,66,29,23
4148S,0.625,21.52777777777778,16.51388888888889,72,21.962616822429908,18.83177570093458,0.08922326924881607,0.3333333333333333,9,0.3333333333333333,9,0.5,21.785714285714285,22.285714285714285,14,0.0,0,0.0,0,48,68,11,71,12,56,74,44,63,69,48,62,23
36830B,0.625,24.479166666666668,20.5625,48,25.463276836158194,23.779661016949152,0.052943540656798294,0.5263157894736842,19,0.375,8,0.6363636363636364,24.181818181818183,21.09090909090909,11,0.6666666666666666,3,0.0,0,48,57,40,56,56,63,56,39,45,66,38,20,23
5150J,0.6219512195121951,26.304878048780488,19.926829268292682,82,26.358870967741936,21.112903225806452,0.1211812359413717,0.6,20,0.375,8,0.5294117647058824,30.0,25.823529411764707,17,0.3333333333333333,3,0.0,1,50,47,34,53,27,43,42,39,62,38,68,55,23
77717F,0.620253164556962,28.341772151898734,22.088607594936708,79,28.681818181818183,24.289256198347108,0.09260004500360314,0.55,20,0.5,8,0.6190476190476191,29.19047619047619,26.0,21,0.4,5,0.0,1,51,36,58,38,64,55,49,33,50,44,69,52,23
5864D,0.6153846153846154,30.73076923076923,24.53846153846154,26,32.78947368421053,22.902255639097746,0.21881741968738985,0.7777777777777778,18,0.6666666666666666,9,0.75,40.0,23.5,4,0.75,4,0.0,1,52,23,75,15,44,13,8,14,18,1,55,12,23
2150A,0.6153846153846154,27.807692307692307,22.884615384615383,52,28.734375,23.8671875,0.12535895573205966,0.5,8,0.0,0,0.7692307692307693,30.23076923076923,19.307692307692307,13,0.0,0,0.0,0,52,40,67,36,58,40,59,49,17,36,17,62,23
16756B,0.6140350877192983,23.035087719298247,18.894736842105264,57,24.375,20.33125,0.09522839551738607,0.8,10,0.0,0,0.5,21.333333333333332,21.583333333333332,12,0.5,2,0.0,0,54,64,26,59,24,53,5,49,63,70,42,38,23
74000M,0.6136363636363636,32.56818181818182,29.181818181818183,44,32.933734939759034,30.0,0.03994747385418653,0.6538461538461539,26,0.0,0,0.625,32.625,28.6875,16,0.6666666666666666,12,0.0,0,55,13,81,12,81,66,33,49,48,24,76,20,23
7447G,0.6,23.933333333333334,20.316666666666666,60,23.309178743961354,23.03864734299517,0.018441258150384856,0.45,20,0.3333333333333333,9,0.5833333333333334,24.833333333333332,22.666666666666668,12,0.6666666666666666,3,0.0,0,56,59,38,64,47,68,65,44,56,63,50,20,23
89250X,0.5977011494252874,28.620689655172413,22.896551724137932,87,28.70149253731343,24.16417910447761,0.09438942804075072,0.3333333333333333,9,0.0,0,0.5,30.0,25.25,20,0.0,1,0.0,0,57,34,68,37,63,54,74,49,63,38,64,62,23
86254B,0.5882352941176471,28.84313725490196,24.58823529411765,51,30.333333333333332,23.472972972972972,0.13807358958867136,0.6923076923076923,26,0.7142857142857143,14,0.5384615384615384,31.923076923076923,28.615384615384617,13,0.7,10,0.8333333333333334,6,58,32,76,28,52,36,24,9,61,26,75,18,2
3946S,0.5813953488372093,25.88372093023256,21.372093023255815,43,26.89090909090909,22.763636363636362,0.0876731166446627,0.5,8,0.0,0,0.625,28.625,25.375,8,0.0,0,0.0,0,59,52,52,49,42,57,59,49,48,48,65,62,23
16099D,0.5789473684210527,27.0,21.526315789473685,76,27.54,23.02,0.11571537369473148,0.5128205128205128,39,0.5185185185185185,27,0.4375,27.6875,25.0625,16,0.16666666666666666,6,0.0,2,60,46,54,43,45,47,58,32,70,53,63,61,23
39H,0.5760869565217391,28.23913043478261,22.869565217391305,92,27.550143266475644,24.521489971346703,0.0707260409204631,0.5,34,0.3333333333333333,21,0.7368421052631579,31.105263157894736,20.57894736842105,19,0.5,4,0.0,1,61,37,66,42,68,60,59,44,23,29,27,38,23
18031A,0.5714285714285714,24.428571428571427,22.257142857142856,35,25.54368932038835,23.718446601941746,0.04818704813093966,0.6363636363636364,11,0.0,0,0.6666666666666666,30.166666666666668,24.166666666666668,6,0.0,1,0.0,0,62,58,61,54,54,65,35,49,34,37,58,62,23
4378A,0.5633802816901409,19.098591549295776,16.619718309859156,71,19.775147928994084,17.05325443786982,0.08457213043263657,0.4444444444444444,9,0.0,0,0.38461538461538464,18.846153846153847,19.76923076923077,13,0.0,1,0.0,0,63,75,12,76,8,58,66,49,73,75,21,62,23
23805S,0.5609756097560976,16.195121951219512,13.463414634146341,41,17.173553719008265,15.148760330578513,0.06907237022445406,0.6153846153846154,13,0.0,0,0.6363636363636364,15.727272727272727,15.272727272727273,11,0.6,5,0.0,0,64,79,3,79,3,61,36,49,45,78,7,29,23
71113X,0.5483870967741935,30.693548387096776,29.516129032258064,62,30.149532710280372,30.785046728971963,0.0021960023521290497,0.43333333333333335,30,0.0,0,0.65,29.8,29.45,20,0.7142857142857143,14,0.0,0,65,24,82,29,82,72,68,49,43,42,79,14,23
28828A,0.5466666666666666,23.76,20.4,75,23.341772151898734,22.240506329113924,0.031726052649735964,0.4,20,0.3333333333333333,9,0.4166666666666667,24.916666666666668,24.833333333333332,12,0.0,1,0.0,0,66,60,39,62,37,67,71,44,71,62,61,62,23
69403A,0.5384615384615384,19.923076923076923,16.743589743589745,39,21.45945945945946,18.414414414414413,0.0559373126880266,0.5454545454545454,11,0.0,0,0.6,26.3,20.8,10,0.5,4,0.0,0,67,72,13,72,11,62,51,49,52,56,29,38,23
6121A,0.5208333333333334,26.010416666666668,22.21875,96,26.70402298850575,23.387931034482758,0.07656071208032404,0.4838709677419355,31,0.47619047619047616,21,0.5416666666666666,25.875,20.208333333333332,24,0.5,4,0.5,2,68,51,60,52,50,59,64,34,60,58,24,38,16
55755A,0.5185185185185185,19.74074074074074,15.518518518518519,54,20.99290780141844,16.20567375886525,0.12993833831615162,0.5454545454545454,11,0.0,0,0.6,22.0,15.533333333333333,15,0.3333333333333333,3,0.0,0,69,73,7,73,5,38,51,49,52,68,9,55,23
19122B,0.48936170212765956,25.170212765957448,22.851063829787233,47,25.491935483870968,23.975806451612904,0.016670704400220903,0.5,10,0.0,0,0.6,28.2,21.8,10,0.5,2,0.0,0,70,53,65,55,60,69,59,49,52,50,45,38,23
